epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,227.308,1.56218,0.9202,0.9963,0.3278,0.00333244,0.00333244,0.00333244
2,434.632,0.993,0.9278,0.9972,0.31435,0.00659979,0.00659979,0.00659979
3,633.732,1.19078,0.9148,0.9966,0.3537,0.00980113,0.00980113,0.00980113
4,834.685,1.06798,0.9579,0.9984,0.18056,0.009703,0.009703,0.009703
5,1023.44,0.68691,0.9718,0.9992,0.12349,0.009604,0.009604,0.009604
6,1216.36,0.62302,0.9746,0.9997,0.11351,0.009505,0.009505,0.009505
7,1408.81,0.55082,0.9747,0.9998,0.09833,0.009406,0.009406,0.009406
8,1603.28,0.48075,0.9766,0.9999,0.08962,0.009307,0.009307,0.009307
9,1797.06,0.38966,0.9807,0.9998,0.07754,0.009208,0.009208,0.009208
10,1992,0.38521,0.9811,0.9996,0.07495,0.009109,0.009109,0.009109
11,2186.88,0.38434,0.9834,0.9998,0.07009,0.00901,0.00901,0.00901
12,2380.86,0.35551,0.9855,0.9997,0.06503,0.008911,0.008911,0.008911
13,2573.89,0.34288,0.9847,0.9999,0.06276,0.008812,0.008812,0.008812
14,2764.83,0.34269,0.9846,0.9999,0.06314,0.008713,0.008713,0.008713
15,2957.2,0.33342,0.9842,0.9999,0.06178,0.008614,0.008614,0.008614
16,3148.72,0.31823,0.9843,0.9999,0.06063,0.008515,0.008515,0.008515
17,3342.46,0.34093,0.9846,0.9999,0.06041,0.008416,0.008416,0.008416
18,3536.18,0.40566,0.985,0.9999,0.06079,0.008317,0.008317,0.008317
19,3732.1,0.34923,0.9849,0.9999,0.06122,0.008218,0.008218,0.008218
20,3925.32,0.34671,0.9849,0.9999,0.06158,0.008119,0.008119,0.008119
21,4117.65,0.33268,0.9854,0.9999,0.06058,0.00802,0.00802,0.00802
22,4310.47,0.34554,0.9853,0.9999,0.05991,0.007921,0.007921,0.007921
23,4502.4,0.32649,0.9855,0.9999,0.05948,0.007822,0.007822,0.007822
24,4696.27,0.30563,0.9855,0.9999,0.05954,0.007723,0.007723,0.007723
25,4887.37,0.29636,0.9854,0.9999,0.05958,0.007624,0.007624,0.007624
26,5081.03,0.30085,0.9858,0.9999,0.05999,0.007525,0.007525,0.007525
27,5276.8,0.28277,0.9855,0.9999,0.05967,0.007426,0.007426,0.007426
28,5470.57,0.26936,0.9856,0.9999,0.05921,0.007327,0.007327,0.007327
29,5663.96,0.26679,0.986,0.9999,0.0584,0.007228,0.007228,0.007228
30,5864.96,0.29711,0.9859,1,0.05867,0.007129,0.007129,0.007129
31,6062.73,0.28637,0.9864,1,0.0588,0.00703,0.00703,0.00703
32,6257.58,0.28093,0.9862,1,0.05863,0.006931,0.006931,0.006931
33,6448.74,0.28239,0.987,1,0.05832,0.006832,0.006832,0.006832
34,6644.17,0.26988,0.9874,0.9999,0.05839,0.006733,0.006733,0.006733
35,6832.24,0.28531,0.9872,0.9999,0.05849,0.006634,0.006634,0.006634
36,7012.96,0.28603,0.9874,1,0.05888,0.006535,0.006535,0.006535
37,7193.42,0.28426,0.9877,0.9999,0.05934,0.006436,0.006436,0.006436
38,7376.2,0.27541,0.9878,1,0.05908,0.006337,0.006337,0.006337
39,7555.24,0.24401,0.988,1,0.05865,0.006238,0.006238,0.006238
40,7738.82,0.23057,0.9882,1,0.05864,0.006139,0.006139,0.006139
41,7936.54,0.23275,0.9884,0.9999,0.05826,0.00604,0.00604,0.00604
42,8132.24,0.23305,0.9885,0.9999,0.05825,0.005941,0.005941,0.005941
43,8326.94,0.23512,0.9889,0.9999,0.05778,0.005842,0.005842,0.005842
44,8518.58,0.22967,0.9889,0.9999,0.05712,0.005743,0.005743,0.005743
45,8712.08,0.22739,0.9884,0.9999,0.05666,0.005644,0.005644,0.005644
46,8906.49,0.22239,0.9887,0.9999,0.05631,0.005545,0.005545,0.005545
47,9102.09,0.21815,0.9887,0.9999,0.05581,0.005446,0.005446,0.005446
48,9306.97,0.21529,0.989,0.9999,0.05556,0.005347,0.005347,0.005347
49,9501.19,0.22029,0.9891,0.9999,0.055,0.005248,0.005248,0.005248
50,9683.83,0.23144,0.9892,0.9999,0.05476,0.005149,0.005149,0.005149
51,9862.44,0.2155,0.9892,0.9999,0.05411,0.00505,0.00505,0.00505
52,10042.6,0.21535,0.9891,0.9999,0.05369,0.004951,0.004951,0.004951
53,10234.5,0.21362,0.9894,0.9999,0.05361,0.004852,0.004852,0.004852
54,10427,0.20864,0.9896,0.9999,0.05306,0.004753,0.004753,0.004753
55,10620.3,0.2134,0.9896,0.9999,0.05283,0.004654,0.004654,0.004654
56,10819.9,0.21733,0.9894,0.9999,0.05229,0.004555,0.004555,0.004555
57,11016.3,0.2068,0.9895,0.9999,0.05149,0.004456,0.004456,0.004456
58,11214.1,0.20261,0.9897,0.9999,0.05134,0.004357,0.004357,0.004357
59,11410.6,0.20859,0.9898,0.9999,0.05031,0.004258,0.004258,0.004258
60,11607.1,0.1999,0.9897,0.9999,0.04985,0.004159,0.004159,0.004159
61,11804,0.2014,0.9895,0.9999,0.0491,0.00406,0.00406,0.00406
62,11998.7,0.19792,0.99,0.9999,0.04834,0.003961,0.003961,0.003961
63,12192.4,0.19475,0.9899,0.9999,0.04786,0.003862,0.003862,0.003862
64,12388.2,0.19496,0.9898,0.9999,0.04745,0.003763,0.003763,0.003763
65,12584,0.19626,0.99,0.9999,0.04689,0.003664,0.003664,0.003664
66,12780.1,0.19182,0.9902,0.9999,0.04654,0.003565,0.003565,0.003565
67,12974.3,0.19565,0.9899,0.9999,0.04596,0.003466,0.003466,0.003466
68,13169.2,0.18596,0.99,0.9999,0.04565,0.003367,0.003367,0.003367
69,13365.4,0.18782,0.9901,0.9999,0.04565,0.003268,0.003268,0.003268
70,13561.7,0.18617,0.9901,0.9999,0.04587,0.003169,0.003169,0.003169
71,13757.7,0.18472,0.9903,0.9999,0.04594,0.00307,0.00307,0.00307
72,13953.9,0.18783,0.9904,0.9999,0.046,0.002971,0.002971,0.002971
73,14151,0.18043,0.9903,0.9999,0.04594,0.002872,0.002872,0.002872
74,14349,0.17814,0.9903,0.9999,0.04597,0.002773,0.002773,0.002773
75,14545,0.17244,0.9901,0.9999,0.04579,0.002674,0.002674,0.002674
76,14742.5,0.16834,0.9898,0.9999,0.04546,0.002575,0.002575,0.002575
77,14940.8,0.16993,0.9898,0.9999,0.04525,0.002476,0.002476,0.002476
78,15137.8,0.16278,0.9899,0.9999,0.04515,0.002377,0.002377,0.002377
79,15334.8,0.17085,0.99,0.9999,0.04494,0.002278,0.002278,0.002278
80,15532.2,0.17282,0.9902,0.9999,0.045,0.002179,0.002179,0.002179
81,15729,0.1638,0.9902,0.9999,0.04488,0.00208,0.00208,0.00208
82,15926.7,0.16508,0.9902,0.9999,0.04459,0.001981,0.001981,0.001981
83,16125.7,0.15124,0.9904,0.9999,0.04409,0.001882,0.001882,0.001882
84,16324.3,0.15215,0.9904,0.9999,0.04363,0.001783,0.001783,0.001783
85,16521.5,0.15529,0.9905,0.9999,0.04316,0.001684,0.001684,0.001684
86,16717.4,0.1469,0.9904,0.9999,0.04269,0.001585,0.001585,0.001585
87,16912,0.15284,0.9905,0.9999,0.04202,0.001486,0.001486,0.001486
